COUNTRY_ID,country_name,district_name,GAUL_CODE,total_population_2016,coverage_untargeted_biased_2016,coverage_untargeted_unbiased_2016,coverage_targeted_2016,number_to_vaccinate_untargeted_biased_2016,number_to_vaccinate_untargeted_unbiased_2016,number_to_vaccinate_targeted_2016,coverage_untargeted_biased_1970,coverage_untargeted_biased_1980,coverage_untargeted_biased_1990,coverage_untargeted_biased_2000,coverage_untargeted_biased_2010,coverage_untargeted_unbiased_1970,coverage_untargeted_unbiased_1980,coverage_untargeted_unbiased_1990,coverage_untargeted_unbiased_2000,coverage_untargeted_unbiased_2010,coverage_targeted_1970,coverage_targeted_1980,coverage_targeted_1990,coverage_targeted_2000,coverage_targeted_2010
AGO,Angola,Golungo Alto,4293,30303.90512,0.360210242,0.360210242,0.360210242,13327,13327,13327,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261
AGO,Angola,Gonguembo,4294,16284.5999,0.360210242,0.360210242,0.360210242,7162,7162,7162,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261
AGO,Angola,Lucala,4295,18118.97994,0.360210242,0.360210242,0.360210242,7969,7969,7969,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261
AGO,Angola,Quiculungo,4296,12614.02429,0.360210242,0.360210242,0.360210242,5548,5548,5548,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261
AGO,Angola,Samba Caju,4297,41489.99785,0.360210242,0.360210242,0.360210242,18247,18247,18247,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261
AGO,Angola,Cacuaco,4298,882567.3252,0.773018523,0.87708014,0.975105258,23813,0,0,0,0,0.913526628,0.709040162,0.641119817,0,0,0.913526628,0.709040162,0.641119817,0,0,0.913526628,0.709040162,0.641119817
AGO,Angola,Luanda,4299,3842775.812,0.773018523,0.87708014,0.975105258,103684,0,0,0,0,0.913526628,0.709040162,0.641119817,0,0,0.913526628,0.709040162,0.641119817,0,0,0.913526628,0.709040162,0.641119817
AGO,Angola,Viana,4300,2195198.356,0.773018523,0.87708014,0.975105258,59230,0,0,0,0,0.913526628,0.709040162,0.641119817,0,0,0.913526628,0.709040162,0.641119817,0,0,0.913526628,0.709040162,0.641119817
AGO,Angola,Cambulo,4301,92315.06684,0.360210242,0.360210242,0.360210242,40599,40599,40599,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261
AGO,Angola,Capenda Camulemba,4302,95846.78107,0.360210242,0.360210242,0.360210242,42152,42152,42152,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261
AGO,Angola,Caungula,4303,77424.10299,0.360210242,0.360210242,0.360210242,34050,34050,34050,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261
AGO,Angola,Chitato,4304,128632.5584,0.360210242,0.360210242,0.360210242,56571,56571,56571,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261
AGO,Angola,Cuango,4305,77836.11469,0.360210242,0.360210242,0.360210242,34232,34232,34232,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261
AGO,Angola,Cuilo,4306,34291.92259,0.360210242,0.360210242,0.360210242,15081,15081,15081,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261
AGO,Angola,Lubalo,4307,46991.51436,0.360210242,0.360210242,0.360210242,20666,20666,20666,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261
AGO,Angola,Lucapa,4308,101754.7374,0.360210242,0.360210242,0.360210242,44751,44751,44751,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261
AGO,Angola,Xa-muteba,4309,199303.2027,0.360210242,0.360210242,0.360210242,87652,87652,87652,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261
